Eu,Ti,El/Ela,Nós,Vós,Eles/Elas
Reflectía,Reflectías,Reflectía,Reflectiamos,Reflectiades,Reflectían
Respectaba,Respectabas,Respectaba,Respectabamos,Respectabades,Respectaban
Valoraba,Valorabas,Valoraba,Valorabamos,Valorabades,Valoraban
Afastaba,Afastabas,Afastaba,Afastabamos,Afastabades,Afastaban
Figuraba,Figurabas,Figuraba,Figurabamos,Figurabades,Figuraban
Intervía,Intervías,Intervía,Interviamos,Interviades,Intervían
Criticaba,Criticabas,Criticaba,Criticabamos,Criticabades,Criticaban
Roubaba,Roubabas,Roubaba,Roubabamos,Roubabades,Roubaban
Accedía,Accedías,Accedía,Accediamos,Accediades,Accedían
Transmitía,Transmitías,Transmitía,Transmitiamos,Transmitiades,Transmitían
Voltaba,Voltabas,Voltaba,Voltabamos,Voltabades,Voltaban
Distinguía,Distinguías,Distinguía,Distinguiamos,Distinguiades,Distinguían
Duraba,Durabas,Duraba,Durabamos,Durabades,Duraban
Probaba,Probabas,Probaba,Probabamos,Probabades,Probaban
Escapaba,Escapabas,Escapaba,Escapabamos,Escapabades,Escapaban
Despedía,Despedías,Despedía,Despediamos,Despediades,Despedían
Atrevía,Atrevías,Atrevía,Atreviamos,Atreviades,Atrevían
Confiaba,Confiabas,Confiaba,Confiabamos,Confiabades,Confiaban
Amaba,Amabas,Amaba,Amabamos,Amabades,Amaban
Apostaba,Apostabas,Apostaba,Apostabamos,Apostabades,Apostaban
Tendía,Tendías,Tendía,Tendiamos,Tendiades,Tendían
Devolvía,Devolvías,Devolvía,Devolviamos,Devolviades,Devolvían
Pousaba,Pousabas,Pousaba,Pousabamos,Pousabades,Pousaban
Xuntaba,Xuntabas,Xuntaba,Xuntabamos,Xuntabades,Xuntaban
Deseñaba,Deseñabas,Deseñaba,Deseñabamos,Deseñabades,Deseñaban
Cargaba,Cargabas,Cargaba,Cargabamos,Cargabades,Cargaban
Completaba,Completabas,Completaba,Completabamos,Completabades,Completaban
Incrementaba,Incrementabas,Incrementaba,Incrementabamos,Incrementabades,Incrementaban
Transformaba,Transformabas,Transformaba,Transformabamos,Transformabades,Transformaban
